N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_goal_reached
0,160,327,0.0,0.0,0.0,0.0,1.9093621969223022,14.234233856201172,-4.836169719696045,0.0,0.0,0.0
10,1760,434,0.0,0.0,0.0,0.0,0.0036061545833945274,16.818618774414062,-0.0008662260370329022,0.0,0.0,0.0
20,3360,437,0.0,0.0,0.0,0.0,0.0005805573309771717,16.38227081298828,-0.00010480410128366202,0.0,0.0,0.0
30,4960,438,0.0,0.0,0.0,0.0,0.0006182519136928022,16.069252014160156,-0.00010928224219242111,0.0,0.0,0.0
40,6560,432,0.0,0.0,0.0,0.0,0.0006726986030116677,15.811022758483887,-0.00011714157881215215,0.0,0.0,0.0
50,8160,427,0.0,0.0,0.0,0.0,1.4708764865645207e-05,15.585615158081055,-1.7997733721131226e-06,0.0,0.0,0.0
60,9760,426,0.0,0.0,0.0,0.0,1.4515038856188767e-05,15.382617950439453,-1.737553475322784e-06,0.0,0.0,0.0
70,11360,426,0.0,0.0,0.0,0.0,1.4364617527462542e-05,15.196203231811523,-1.6840706393850269e-06,0.0,0.0,0.0
80,12960,425,0.0,0.0,0.0,0.0,1.4244388694351073e-05,15.022704124450684,-1.636754291212128e-06,0.0,0.0,0.0
90,14560,425,0.0,0.0,0.0,0.0,1.4146593457553536e-05,14.859611511230469,-1.594036802998744e-06,0.0,0.0,0.0
100,16160,426,0.0,0.0,0.0,0.0,1.4066204130358528e-05,14.705138206481934,-1.5548743022009148e-06,0.0,0.0,0.0
110,17760,425,0.0,0.0,0.0,0.0,1.3999765542394016e-05,14.557994842529297,-1.5185395341177355e-06,0.0,0.0,0.0
120,19360,427,0.0,0.0,0.0,0.0,1.3944865713710897e-05,14.417224884033203,-1.484513404648169e-06,0.0,0.0,0.0
130,20960,429,0.0,0.0,0.0,0.0,1.3899676559958607e-05,14.282025337219238,-1.4523920981446281e-06,0.0,0.0,0.0
140,22560,431,0.0,0.0,0.0,0.0,1.3862862033420242e-05,14.151777267456055,-1.4218743444871507e-06,0.0,0.0,0.0
150,24160,433,0.0,0.0,0.0,0.0,1.3833364391757641e-05,14.02602481842041,-1.392721060256008e-06,0.0,0.0,0.0
160,25760,432,0.0,0.0,0.0,0.0,1.3810345080855768e-05,13.904345512390137,-1.364734316666727e-06,0.0,0.0,0.0
170,27360,432,0.0,0.0,0.0,0.0,1.3793182006338611e-05,13.786389350891113,-1.3377596133068437e-06,0.0,0.0,0.0
180,28960,432,0.0,0.0,0.0,0.0,1.3781314919469878e-05,13.671905517578125,-1.3116657555656275e-06,0.0,0.0,0.0
190,30560,431,0.0,0.0,0.0,0.0,1.377431908622384e-05,13.560651779174805,-1.2863426945841638e-06,0.0,0.0,0.0
200,32160,432,0.0,0.0,0.0,0.0,1.377187709294958e-05,13.452444076538086,-1.2617063021025388e-06,0.0,0.0,0.0
210,33760,432,0.0,0.0,0.0,0.0,1.3773685168416705e-05,13.347078323364258,-1.2376686981951934e-06,0.0,0.0,0.0
220,35360,432,0.0,0.0,0.0,0.0,1.3779506844002753e-05,13.244457244873047,-1.2141655361119774e-06,0.0,0.0,0.0
230,36960,433,0.0,0.0,0.0,0.0,1.3789169315714389e-05,13.144429206848145,-1.1911391766261659e-06,0.0,0.0,0.0
240,38560,433,0.0,0.0,0.0,0.0,1.3802498870063573e-05,13.046916007995605,-1.1685369827318937e-06,0.0,0.0,0.0
